,경상대,광양항세방,구미,남동발전_본사사옥,영동,예천,남제주소내,부산복합자재창고,부산복합1단계,부산수처리장,부산신항,부산본부,삼척소내,신인천소내,신인천전망대,신인천해수취수구,영월본부,영월철도부지,위미2리,인천수산정수장,하동공설운동장,하동변전소,하동보건소,하동본부,하동정수장,하동하수처리장,광양항,당진,당진매립장_송악,당진자재창고,동해,수원환경사업소,황금물류센터,세종시폐기물매립장,연성정수장,영암에프원b,대구,신안
172,,,,,35.0,,,15.0,15.0,15.0,15.0,15.0,,35.0,35.0,35.0,,,,35.0,,,,,,,,27.0,27.0,27.0,,35.0,,27.0,35.0,17.0,16.0,10.0
173,,,,,,,,15.0,15.0,15.0,15.0,15.0,,35.0,35.0,35.0,,,,35.0,,,,,,,,34.0,34.0,34.0,,,,27.0,35.0,18.0,29.0,10.0
174,,,,,35.0,,,14.0,14.0,14.0,14.0,14.0,,32.0,32.0,32.0,,,,32.0,,,,,,,,30.0,30.0,30.0,,35.0,,29.0,32.0,15.0,27.0,19.0
175,,,,,35.0,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,30.0,30.0,30.0,,35.0,,30.0,,17.0,8.0,19.0
176,,,,,38.0,,,12.0,12.0,12.0,12.0,12.0,,42.0,42.0,42.0,,,,42.0,,,,,,,,36.0,36.0,36.0,,38.0,,30.0,42.0,18.0,8.0,20.0
177,,,,,38.0,,,10.0,10.0,10.0,10.0,10.0,,25.0,25.0,25.0,,,,25.0,,,,,,,,30.0,30.0,30.0,,38.0,,35.0,25.0,17.0,8.0,20.0
178,,,,,38.0,,,14.0,14.0,14.0,14.0,14.0,,30.0,30.0,30.0,,,,30.0,,,,,,,,35.0,35.0,35.0,,38.0,,34.0,30.0,18.0,11.0,20.0
179,,,,,35.0,,,10.0,10.0,10.0,10.0,10.0,,28.0,28.0,28.0,,,,28.0,,,,,,,,35.0,35.0,35.0,,35.0,,35.0,28.0,20.0,10.0,10.0
180,,,,,35.0,,,18.0,18.0,18.0,18.0,18.0,,29.0,29.0,29.0,,,,29.0,,,,,,,,35.0,35.0,35.0,,35.0,,35.0,29.0,20.0,10.0,35.0
181,,,,,29.0,,,16.0,16.0,16.0,16.0,16.0,,26.0,26.0,26.0,,,,26.0,,,,,,,,35.0,35.0,35.0,,29.0,,30.0,26.0,20.0,12.0,35.0
182,,,,,28.0,,,11.0,11.0,11.0,11.0,11.0,,26.0,26.0,26.0,,,,26.0,,,,,,,,25.0,25.0,25.0,,28.0,,10.0,26.0,10.0,10.0,10.0
183,,,,,27.0,,,11.0,11.0,11.0,11.0,11.0,,15.0,15.0,15.0,,,,15.0,,,,,,,,24.0,24.0,24.0,,27.0,,30.0,15.0,27.0,10.0,15.0
184,,,,,10.0,,,12.0,12.0,12.0,12.0,12.0,,13.0,13.0,13.0,,,,13.0,,,,,,,,24.0,24.0,24.0,,10.0,,26.0,13.0,28.0,10.0,32.0
185,,,,,10.0,,,9.0,9.0,9.0,9.0,9.0,,23.0,23.0,23.0,,,,23.0,,,,,,,,16.0,16.0,16.0,,10.0,,16.0,23.0,19.0,30.0,27.0
186,,,,,25.0,,,11.0,11.0,11.0,11.0,11.0,,27.0,27.0,27.0,,,,27.0,,,,,,,,24.0,24.0,24.0,,25.0,,15.0,27.0,10.0,31.0,32.0
187,,,,,24.0,,,15.0,15.0,15.0,15.0,15.0,,18.0,18.0,18.0,,,,18.0,,,,,,,,19.0,19.0,19.0,,24.0,,13.0,18.0,4.0,31.0,20.0
