怕剧堡疙,龋扁,斥岿老,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
措备,0,2017-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,50.0,60.0,70.0,70.0,70.0,50.0,50.0,30.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,20.0,40.0,60.0,60.0,60.0,40.0,20.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,60.0,70.0,70.0,70.0,60.0,40.0,30.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,40.0,20.0,40.0,10.0,6.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,60.0,70.0,60.0,70.0,60.0,50.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,50.0,70.0,70.0,70.0,40.0,40.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,50.0,50.0,60.0,60.0,50.0,40.0,20.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,40.0,40.0,40.0,40.0,30.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,20.0,10.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,40.0,80.0,60.0,40.0,9.8,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,50.0,30.0,50.0,30.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,50.0,70.0,70.0,60.0,60.0,60.0,40.0,20.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,50.0,40.0,60.0,60.0,40.0,40.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,70.0,70.0,80.0,70.0,60.0,50.0,30.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,20.0,12.4,10.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0,40.0,40.0,30.0,20.0,30.0,10.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,50.0,70.0,80.0,80.0,70.0,70.0,30.0,30.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-03,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,50.0,70.0,80.0,70.0,80.0,70.0,50.0,30.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-04,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,30.0,60.0,60.0,70.0,70.0,60.0,40.0,40.0,30.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,50.0,10.0,0.0,10.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,17.6,20.0,40.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,70.0,70.0,80.0,70.0,60.0,50.0,30.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,60.0,70.0,70.0,70.0,60.0,40.0,30.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,40.0,20.0,40.0,20.0,30.0,30.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,30.0,60.0,70.0,80.0,70.0,70.0,70.0,50.0,40.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,60.0,80.0,60.0,50.0,30.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0,70.0,70.0,70.0,70.0,50.0,40.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,60.0,60.0,70.0,80.0,70.0,50.0,40.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-14,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,50.0,50.0,50.0,60.0,60.0,20.0,40.0,30.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,70.0,70.0,60.0,50.0,50.0,20.0,10.0,10.0,7.2,0.0,0.0,0.0,0.0,0.0
